./new-calib-3.9: New touch screen calibration program v3.9
Serial Number='131E1E00010B060102C5'
Entering calib_delay
 X= 525 X2= 525  Y= 518 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  19  P= 523  D=  10 tn=0 wfr=0 sd=0
 X= 526 X2= 524  Y= 515 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  17  P= 523  D=  15 tn=0 wfr=0 sd=0
 X= 527 X2= 525  Y= 518 Y2= 518 P1= 809 P2= 404 T1=  18 T2=  17  P= 527  D=  20 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 520 P1= 809 P2= 405 T1=  17 T2=  17  P= 523  D=  30 tn=0 wfr=0 sd=0
 X= 526 X2= 524  Y= 518 Y2= 516 P1= 809 P2= 404 T1=  17 T2=  16  P= 526  D=  40 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 404 T1=  17 T2=  17  P= 526  D=  60 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 516 Y2= 518 P1= 809 P2= 404 T1=  18 T2=  17  P= 526  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 518 P1= 808 P2= 404 T1=  18 T2=  18  P= 525  D=   5 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 519 P1= 809 P2= 404 T1=  17 T2=  18  P= 526  D=  10 tn=0 wfr=0 sd=0
 X= 525 X2= 526  Y= 519 Y2= 517 P1= 809 P2= 404 T1=  18 T2=  18  P= 526  D=  15 tn=0 wfr=0 sd=0
 X= 524 X2= 526  Y= 517 Y2= 517 P1= 809 P2= 404 T1=  18 T2=  17  P= 526  D=  20 tn=0 wfr=0 sd=0
 X= 525 X2= 526  Y= 517 Y2= 517 P1= 810 P2= 405 T1=  18 T2=  17  P= 525  D=  30 tn=0 wfr=0 sd=0
 X= 523 X2= 525  Y= 517 Y2= 518 P1= 809 P2= 404 T1=  18 T2=  18  P= 525  D=  40 tn=0 wfr=0 sd=0
 X= 526 X2= 526  Y= 518 Y2= 517 P1= 810 P2= 405 T1=  18 T2=  18  P= 526  D=  60 tn=0 wfr=0 sd=0
 X= 526 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 404 T1=  19 T2=  18  P= 526  D=  80 tn=0 wfr=0 sd=0
 X= 526 X2= 526  Y= 517 Y2= 517 P1= 809 P2= 404 T1=  18 T2=  18  P= 527  D=   5 tn=0 wfr=0 sd=0
 X= 525 X2= 524  Y= 518 Y2= 516 P1= 808 P2= 405 T1=  18 T2=  18  P= 521  D=  10 tn=0 wfr=0 sd=0
 X= 524 X2= 525  Y= 518 Y2= 518 P1= 808 P2= 405 T1=  17 T2=  18  P= 521  D=  15 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 518 P1= 809 P2= 404 T1=  18 T2=  18  P= 526  D=  20 tn=0 wfr=0 sd=0
 X= 522 X2= 525  Y= 517 Y2= 518 P1= 809 P2= 405 T1=  17 T2=  18  P= 521  D=  30 tn=0 wfr=0 sd=0
 X= 524 X2= 527  Y= 518 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  18  P= 523  D=  40 tn=0 wfr=0 sd=0
 X= 524 X2= 527  Y= 517 Y2= 517 P1= 808 P2= 405 T1=  18 T2=  17  P= 522  D=  60 tn=0 wfr=0 sd=0
 X= 526 X2= 525  Y= 518 Y2= 517 P1= 809 P2= 404 T1=  18 T2=  18  P= 526  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 524  Y= 518 Y2= 518 P1= 809 P2= 405 T1=  18 T2=  17  P= 522  D=   5 tn=0 wfr=0 sd=0
 X= 524 X2= 526  Y= 518 Y2= 517 P1= 809 P2= 404 T1=  17 T2=  17  P= 526  D=  10 tn=0 wfr=0 sd=0
 X= 528 X2= 524  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  17  P= 524  D=  15 tn=0 wfr=0 sd=0
 X= 522 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 404 T1=  17 T2=  18  P= 524  D=  20 tn=0 wfr=0 sd=0
 X= 526 X2= 525  Y= 518 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  17  P= 523  D=  30 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  18  P= 523  D=  40 tn=0 wfr=0 sd=0
 X= 526 X2= 524  Y= 517 Y2= 518 P1= 809 P2= 404 T1=  18 T2=  18  P= 526  D=  60 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  17  P= 523  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  17  P= 523  D=   5 tn=0 wfr=0 sd=0
 X= 526 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  17  P= 523  D=  10 tn=0 wfr=0 sd=0
 X= 525 X2= 524  Y= 518 Y2= 516 P1= 809 P2= 405 T1=  17 T2=  17  P= 522  D=  15 tn=0 wfr=0 sd=0
 X= 524 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  15 T2=  17  P= 522  D=  20 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  18  P= 523  D=  30 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 404 T1=  19 T2=  17  P= 526  D=  40 tn=0 wfr=0 sd=0
 X= 526 X2= 525  Y= 518 Y2= 517 P1= 809 P2= 404 T1=  17 T2=  17  P= 526  D=  60 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 517 P1= 808 P2= 405 T1=  18 T2=  15  P= 522  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 524  Y= 518 Y2= 517 P1= 809 P2= 404 T1=  17 T2=  19  P= 525  D=   5 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  18  P= 523  D=  10 tn=0 wfr=0 sd=0
 X= 524 X2= 524  Y= 518 Y2= 521 P1= 809 P2= 405 T1=  18 T2=  16  P= 522  D=  15 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 518 P1= 809 P2= 405 T1=  18 T2=  17  P= 523  D=  20 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 517 P1= 808 P2= 405 T1=  18 T2=  18  P= 522  D=  30 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  18  P= 523  D=  40 tn=0 wfr=0 sd=0
 X= 524 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  18  P= 522  D=  60 tn=0 wfr=0 sd=0
 X= 524 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  17  P= 522  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 524  Y= 518 Y2= 516 P1= 809 P2= 405 T1=  17 T2=  17  P= 522  D=   5 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  18  P= 523  D=  10 tn=0 wfr=0 sd=0
 X= 528 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  17  P= 524  D=  15 tn=0 wfr=0 sd=0
 X= 526 X2= 524  Y= 517 Y2= 517 P1= 809 P2= 404 T1=  18 T2=  17  P= 526  D=  20 tn=0 wfr=0 sd=0
 X= 526 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  19  P= 523  D=  30 tn=0 wfr=0 sd=0
 X= 525 X2= 527  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  19  P= 524  D=  40 tn=0 wfr=0 sd=0
 X= 524 X2= 524  Y= 516 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  18  P= 522  D=  60 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  18  P= 523  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  17  P= 523  D=   5 tn=0 wfr=0 sd=0
 X= 524 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  18  P= 522  D=  10 tn=0 wfr=0 sd=0
 X= 524 X2= 527  Y= 519 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  21  P= 523  D=  15 tn=0 wfr=0 sd=0
 X= 527 X2= 524  Y= 518 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  18  P= 523  D=  20 tn=0 wfr=0 sd=0
 X= 524 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  17  P= 522  D=  30 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 509 P1= 809 P2= 405 T1=  18 T2=  17  P= 523  D=  40 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 518 P1= 809 P2= 405 T1=  18 T2=  18  P= 523  D=  60 tn=0 wfr=0 sd=0
 X= 524 X2= 525  Y= 518 Y2= 516 P1= 809 P2= 405 T1=  18 T2=  17  P= 522  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 526  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  17  P= 523  D=   5 tn=0 wfr=0 sd=0
 X= 525 X2= 524  Y= 517 Y2= 517 P1= 808 P2= 405 T1=  17 T2=  18  P= 521  D=  10 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  17  P= 523  D=  15 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  18  P= 523  D=  20 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 515 P1= 807 P2= 405 T1=  17 T2=  18  P= 520  D=  30 tn=0 wfr=0 sd=0
 X= 525 X2= 524  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  17  P= 522  D=  40 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  19  P= 523  D=  60 tn=0 wfr=0 sd=0
 X= 524 X2= 524  Y= 517 Y2= 518 P1= 808 P2= 405 T1=  17 T2=  18  P= 521  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 519 P1= 809 P2= 405 T1=  18 T2=  17  P= 523  D=   5 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  17  P= 523  D=  10 tn=0 wfr=0 sd=0
 X= 524 X2= 525  Y= 517 Y2= 518 P1= 809 P2= 406 T1=  18 T2=  18  P= 519  D=  15 tn=0 wfr=0 sd=0
 X= 526 X2= 525  Y= 516 Y2= 517 P1= 808 P2= 405 T1=  17 T2=  18  P= 522  D=  20 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  17  P= 523  D=  30 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 517 P1= 809 P2= 405 T1=  16 T2=  17  P= 523  D=  40 tn=0 wfr=0 sd=0
 X= 526 X2= 524  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  18  P= 523  D=  60 tn=0 wfr=0 sd=0
 X= 525 X2= 521  Y= 517 Y2= 518 P1= 809 P2= 405 T1=  17 T2=  18  P= 521  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 519 P1= 809 P2= 405 T1=  18 T2=  18  P= 523  D=   5 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 810 P2= 405 T1=  18 T2=  17  P= 525  D=  10 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 808 P2= 405 T1=  17 T2=  18  P= 522  D=  15 tn=0 wfr=0 sd=0
 X= 526 X2= 525  Y= 518 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  17  P= 523  D=  20 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  18  P= 523  D=  30 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 517 P1= 808 P2= 405 T1=  18 T2=  17  P= 522  D=  40 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  18 T2=  17  P= 523  D=  60 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 808 P2= 405 T1=  17 T2=  17  P= 522  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  18  P= 523  D=   5 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 405 T1=  17 T2=  18  P= 523  D=  10 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 518 P1= 808 P2= 405 T1=  18 T2=  17  P= 522  D=  15 tn=0 wfr=0 sd=0
 X= 525 X2= 527  Y= 518 Y2= 517 P1= 808 P2= 406 T1=  18 T2=  18  P= 520  D=  20 tn=0 wfr=0 sd=0
 X= 526 X2= 525  Y= 518 Y2= 517 P1= 808 P2= 405 T1=  18 T2=  17  P= 522  D=  30 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 518 P1= 809 P2= 405 T1=  18 T2=  17  P= 523  D=  40 tn=0 wfr=0 sd=0
